hashtag,likes_post_relation,likes_number,posts_number
#drawingart,1374.0,1374,1
#digitalmarketing,1374.0,1374,1
#mardel,1374.0,1374,1
#personalizados,1270.0,1270,1
#express,1270.0,1270,1
#ZELDA,1177.0,1177,1
#Link,1177.0,1177,1
#GoodSmileCompany,1177.0,1177,1
#TheLegendOfZelda,1177.0,1177,1
#SkywardSword,1177.0,1177,1
#WindWaker,1177.0,1177,1
#Ganondorf,1177.0,1177,1
#PrincessZelda,1177.0,1177,1
#GameCube,1177.0,1177,1
#LoZ,1177.0,1177,1
#LinksAwakening,1177.0,1177,1
#LegendOfZelda,1177.0,1177,1
#MajorasMask,1177.0,1177,1
#Hyrule,1177.0,1177,1
#OcarinaOfTime,1177.0,1177,1
#BotW,1177.0,1177,1
#TwilightPrincess,1177.0,1177,1
#SmashBros,1177.0,1177,1
#Otaku,1177.0,1177,1
#Japan,1177.0,1177,1
#Anime,1177.0,1177,1
#Wii,1177.0,1177,1
#ToyCollector,1177.0,1177,1
#Geek,1177.0,1177,1
#Cosplay,1177.0,1177,1
#artgame,1136.0,3408,3
#graphicart,1136.0,3408,3
#graphics,1136.0,3408,3
#publicidadcreativa,1062.0,1062,1
#desingn,1017.0,2034,2
#diseñografico,998.5,1997,2
#argentina🇦🇷,998.5,1997,2
#gamedesign,990.5,3962,4
#gamedesigner,990.5,3962,4
#influencer,972.0,972,1
#advergaming,972.0,972,1
#videojuego,917.0,4585,5
#videojuegos,917.0,4585,5
#cerveza,917.0,4585,5
#birra,917.0,4585,5
#beer,917.0,4585,5
#conceptart,883.25,3533,4
#gameartist,862.6666666666666,2588,3
#illustrations,860.5,3442,4
#graphicdesign,860.5,3442,4
#argentina,850.3333333333334,2551,3
#publicidadonline,842.5,1685,2
#playerunkownbattlegrounds,815.0,815,1
#pubgchickendinner,815.0,815,1
#artstagram,815.0,815,1
#chickendinner,815.0,815,1
#artistic,815.0,815,1
#visualart,815.0,815,1
#lineart,815.0,815,1
#sketch,815.0,815,1
#sketchbook,815.0,815,1
#worldofartists,815.0,815,1
#sketches,815.0,815,1
#artoftheday,815.0,815,1
#dessins,815.0,815,1
#aportrait,815.0,815,1
#sonysketch,815.0,815,1
#artempire,815.0,815,1
#cerveceria,802.75,3211,4
#draw,723.5714285714286,5065,7
#pixelart,688.3333333333334,2065,3
#publicidad,623.0,623,1
#grafico,623.0,623,1
#publicidaddigital,623.0,623,1
#socialmedia,623.0,623,1
#boliches,623.0,623,1
#fernet,623.0,623,1
#alcohol,623.0,623,1
#Pokemon,615.5,1231,2
#diseño,588.5,1177,2
#marketingdigital,588.5,1177,2
#buenosaires,588.5,1177,2
#bar,588.5,1177,2
#birreria,554.0,554,1
#juegosonline,554.0,554,1
#videogamer,554.0,554,1
#juegos,554.0,554,1
#boliche,554.0,554,1
#tragos,554.0,554,1
#dessin,543.0,1086,2
#myart,535.6666666666666,1607,3
#digitalpainting,470.0,940,2
#AsapFlxw,459.0,459,1
#drawing,440.14285714285717,3081,7
#fortnitecommunity,430.5,1722,4
#fortnitebr,430.5,1722,4
#fortnitegame,430.5,1722,4
#epicgames,430.5,1722,4
#fortnitelovers,430.5,1722,4
#fortnitepc,430.5,1722,4
