hashtag,comments_post_relation,comments_number,posts_number
#PR,54.0,108,2
#MAGerfurt,36.333333333333336,109,3
#comicsstripped,87.0,87,1
#getstripped,87.0,87,1
#tmlgames,116.33333333333333,349,3
#Venasaur,94.66666666666667,284,3
#gamingdub,126.0,126,1
#simulators,126.0,126,1
#modric,88.0,88,1
#ゲームボーイ,21.6,108,5
#espectacular,246.0,246,1
#Mew,100.0,200,2
#Strix,38.0,38,1
#ScarIII,38.0,38,1
#Keystone,38.0,38,1
#Republicofgamers,38.0,38,1
#photoofthenight,243.0,243,1
#HappyOutbreakDay,322.0,322,1
#doctorstrange,46.5,93,2
#riddle,1110.0,1110,1
#clue,1110.0,1110,1
#brainteaser,1110.0,1110,1
#riddlemethis,1110.0,1110,1
#InsideNick,352.0,352,1
#picolo,43.5,87,2
#NarcolepticNugget,142.0,142,1
#guillaumeetkim,5372.0,5372,1
#grandtheftautofiveonline,42.0,42,1
#onnethox,62.0,62,1
#MyWayToPlay,51.75,207,4
#followfofollow,56.0,56,1
#MimeJr,288.0,288,1
#SuperNintendoEntertainmentSystem,74.0,222,3
#pastelgrunge,114.0,114,1
#animeotaku,114.0,114,1
#spiritedaway,114.0,114,1
#stationeryaddict,114.0,114,1
#competitivecontroller,101.28571428571429,709,7
#diseñatumando,101.28571428571429,709,7
#mandospersonalizado,101.28571428571429,709,7
#gamenwatch,51.0,51,1
#wtfmonday,145.0,145,1
#wtfmondays,145.0,145,1
#GettingOverIt,58.0,58,1
#TheViewage,58.0,58,1
#CuacMN,251.0,251,1
#pettypost,35.0,35,1
#pettyastheycome,35.0,35,1
#straightclownin,35.0,35,1
#hegotjokes,35.0,35,1
#jokesfordays,35.0,35,1
#itsjustjokespeople,35.0,35,1
#itsfunnytome,35.0,35,1
#toofunny,35.0,35,1
#ShinySeviper,311.0,622,2
#ShinyZangoose,311.0,622,2
#pokeflix,49.0,49,1
#pokemonGO,49.0,49,1
#grooky,49.0,49,1
#DRAGONQUESTXI,2637.0,2637,1
#thebay,47.0,47,1
#thecity,47.0,47,1
#shocktheworld,47.0,47,1
#ridethewave,47.0,47,1
#winnable,47.0,47,1
#empezar,27.0,27,1
#otravez,27.0,27,1
#NX,27.0,27,1
#devuelta,27.0,27,1
#rejugar,27.0,27,1
#vrutal,27.0,27,1
#pewdipieminecraft,48.666666666666664,146,3
#tesmemes,35.0,35,1
#Equilattera,15.0,15,1
#miamitattoos,15.0,15,1
#miamitattoo,15.0,15,1
#tattooshop,15.0,15,1
#miamitattooartist,15.0,15,1
#wynwood,15.0,15,1
#watercolortattoo,15.0,15,1
#geometrictattoo,15.0,15,1
#minimalisttattoo,15.0,15,1
#contemporarytattoo,15.0,15,1
#AvantGarde,15.0,15,1
#SkinArt,15.0,15,1
#GtaMedia,106.5,426,4
#videogamestories,63.0,63,1
#pcgamingindonesia,63.0,63,1
#pcgamingmurah,63.0,63,1
#playstation⌚,63.0,63,1
#verymerrymart,29.0,29,1
#freevbucksgiveaway,187.0,561,3
#decisionmaking,29.0,29,1
#Rayquaza,173.0,173,1
#momets,64.0,64,1
#🤡,12.0,12,1
#nontoccatelamiaroba,12.0,12,1
#sorriso,12.0,12,1
#huelights,95.0,95,1
#JustDueitt,95.0,95,1
