hashtag,likes_post_relation,likes_number,posts_number
#PR,30283.5,60567,2
#MAGerfurt,20325.0,60975,3
#comicsstripped,18177.0,18177,1
#getstripped,18177.0,18177,1
#tmlgames,18146.666666666668,54440,3
#Venasaur,14283.0,42849,3
#gamingdub,14109.0,14109,1
#simulators,14109.0,14109,1
#modric,13791.0,13791,1
#ゲームボーイ,12129.4,60647,5
#espectacular,11356.0,11356,1
#Mew,11258.5,22517,2
#Strix,10680.0,10680,1
#ScarIII,10680.0,10680,1
#Keystone,10680.0,10680,1
#Republicofgamers,10680.0,10680,1
#photoofthenight,9900.0,9900,1
#HappyOutbreakDay,9875.0,9875,1
#doctorstrange,9588.5,19177,2
#riddle,9244.0,9244,1
#clue,9244.0,9244,1
#brainteaser,9244.0,9244,1
#riddlemethis,9244.0,9244,1
#InsideNick,9177.0,9177,1
#picolo,9092.0,18184,2
#NarcolepticNugget,8809.0,8809,1
#guillaumeetkim,8469.0,8469,1
#grandtheftautofiveonline,8031.0,8031,1
#onnethox,8025.0,8025,1
#MyWayToPlay,7946.25,31785,4
#followfofollow,7674.0,7674,1
#MimeJr,7627.0,7627,1
#SuperNintendoEntertainmentSystem,7425.333333333333,22276,3
#pastelgrunge,7264.0,7264,1
#animeotaku,7264.0,7264,1
#spiritedaway,7264.0,7264,1
#stationeryaddict,7264.0,7264,1
#competitivecontroller,7227.857142857143,50595,7
#diseñatumando,7227.857142857143,50595,7
#mandospersonalizado,7227.857142857143,50595,7
#gamenwatch,6743.0,6743,1
#wtfmonday,6717.0,6717,1
#wtfmondays,6717.0,6717,1
#GettingOverIt,6569.0,6569,1
#TheViewage,6569.0,6569,1
#CuacMN,6470.0,6470,1
#pettypost,6453.0,6453,1
#pettyastheycome,6453.0,6453,1
#straightclownin,6453.0,6453,1
#hegotjokes,6453.0,6453,1
#jokesfordays,6453.0,6453,1
#itsjustjokespeople,6453.0,6453,1
#itsfunnytome,6453.0,6453,1
#toofunny,6453.0,6453,1
#ShinySeviper,6425.5,12851,2
#ShinyZangoose,6425.5,12851,2
#pokeflix,6420.0,6420,1
#pokemonGO,6420.0,6420,1
#grooky,6420.0,6420,1
#DRAGONQUESTXI,6263.0,6263,1
#thebay,5976.0,5976,1
#thecity,5976.0,5976,1
#shocktheworld,5976.0,5976,1
#ridethewave,5976.0,5976,1
#winnable,5976.0,5976,1
#empezar,5926.0,5926,1
#otravez,5926.0,5926,1
#NX,5926.0,5926,1
#devuelta,5926.0,5926,1
#rejugar,5926.0,5926,1
#vrutal,5926.0,5926,1
#pewdipieminecraft,5916.666666666667,17750,3
#tesmemes,5800.0,5800,1
#Equilattera,5792.0,5792,1
#miamitattoos,5792.0,5792,1
#miamitattoo,5792.0,5792,1
#tattooshop,5792.0,5792,1
#miamitattooartist,5792.0,5792,1
#wynwood,5792.0,5792,1
#watercolortattoo,5792.0,5792,1
#geometrictattoo,5792.0,5792,1
#minimalisttattoo,5792.0,5792,1
#contemporarytattoo,5792.0,5792,1
#AvantGarde,5792.0,5792,1
#SkinArt,5792.0,5792,1
#GtaMedia,5658.5,22634,4
#videogamestories,5652.0,5652,1
#pcgamingindonesia,5652.0,5652,1
#pcgamingmurah,5652.0,5652,1
#playstation⌚,5652.0,5652,1
#verymerrymart,5648.0,5648,1
#freevbucksgiveaway,5637.0,16911,3
#decisionmaking,5619.0,5619,1
#Rayquaza,5547.0,5547,1
#momets,5534.0,5534,1
#🤡,5445.0,5445,1
#nontoccatelamiaroba,5445.0,5445,1
#sorriso,5445.0,5445,1
#huelights,5441.0,5441,1
#JustDueitt,5441.0,5441,1
