Emoji, Frecuencia
➖,12798
🎮,3863
🔥,3320
😂,2951
❤,1791
▪,1383
◾,1365
😍,1173
🔸,1152
👍,954
🏻,914
❌,856
▫,801
⬇,796
💀,777
🕹,732
💯,692
👇,667
💥,642
♥,613
✨,604
😁,562
💙,554
🤣,546
👾,544
😈,543
😎,539
🔹,531
👀,529
♦,527
💕,525
🏼,510
👉,486
🚫,476
♂,473
💜,456
😊,435
☠,434
💖,430
👌,425
🔴,410
➡,406
🖤,401
🙏,397
🙌,384
〰,375
😉,371
⚡,366
🤔,362
✔,356
⛓,351
⚔,345
⭐,342
💪,339
🏽,336
💎,325
😅,319
😭,318
📸,316
🌸,315
😱,305
⚠,304
✌,301
‼,301
👈,293
🖱,286
📩,284
💚,283
🎬,279
🥰,269
🏾,262
🤩,256
❗,254
✅,245
🔔,241
🤷,230
🔫,230
💬,228
🎥,215
🚨,207
🤘,205
😤,205
🎉,202
⚫,199
❎,199
🎧,198
🤗,198
📷,197
👑,196
♒,190
❄,189
🤓,187
☺,185
😄,184
😘,181
🏆,180
💦,180
⏺,171
🏴,170
🐺,162
💛,162
🍀,159
🦂,154
🔻,154
🤯,153
📺,153
👏,153
🤟,150
🤙,149
🤪,149
🐲,148
😳,142
🔽,141
💞,139
🧡,139
🚀,136
🇪,136
⌨,136
🇧,136
💰,136
💻,133
😏,133
♀,131
⬅,131
💓,130
♠,128
💗,128
◽,128
💫,127
📲,126
▶,126
⬛,126
🎀,125
🔵,124
💣,121
🇸,120
⛔,120
🔝,118
👥,116
🖲,116
🇬,115
🤡,115
🙂,114
📌,114
👻,112
✖,111
🎯,110
🇺,110
👊,110
🍃,108
🔲,108
😬,107
🛰,107
😋,104
🌟,104
🎈,104
😆,103
🌀,103
🔜,102
🎎,102
💋,100
🇷,99
🔶,99
🇮,98
🤦,97
🥳,97
🙈,96
📱,94
🍂,93
🇹,93
🖥,92
🌈,91
🎶,90
🐐,89
😝,88
🤮,88
🛡,87
🙄,86
🎃,86
🍁,85
⬆,85
😀,84
😜,84
🍪,84
®,83
😃,81
🤖,81
🔺,80
🐉,80
🏷,79
🙃,78
✉,78
©,78
☝,77
⚽,77
😔,75
👽,75
🌺,75
🇲,74
✊,74
❣,73
🦇,73
😩,72
🇵,72
🎊,72
🤠,71
🇦,71
📍,71
🤤,70
🤫,69
📣,69
💨,69
🗣,68
🌹,68
⤵,67
💘,66
🌊,66
🏿,66
🏝,66
🗡,64
🤞,64
🌱,64
🌐,64
💧,64
💵,64
🇱,63
💳,63
🌿,63
🇩,63
☑,62
🥺,62
💸,62
🤭,61
⏭,61
📝,60
⏩,60
◼,60
🛑,58
🎁,58
👁,58
✳,58
🔪,57
™,57
🔮,57
☀,56
🔊,56
😢,56
🎨,55
😴,55
🚚,55
👤,53
🇨,53
💠,53
🚧,53
🧐,52
🔼,52
⚪,52
😑,51
⚜,51
👋,50
🇳,50
🥀,50
🔷,50
😌,49
🇽,49
🏹,49
👆,49
🅱,49
🇯,49
🗻,48
🔱,48
👨,47
🥵,47
🤧,47
🍻,47
🎵,46
💡,46
🧨,46
💩,45
🐰,45
🎲,45
↔,45
🛍,44
😇,44
🍑,44
🌴,44
📗,44
🗿,43
🐦,43
🐢,43
💝,43
◀,42
🏁,42
🏎,42
😮,42
🥴,41
⛏,41
🏳,41
🌷,41
↘,41
🍕,40
😡,40
☕,40
🛎,40
🥇,39
💔,39
☁,39
↗,39
🧟,38
🤨,37
🔰,37
🥶,37
🥥,37
😫,36
🍄,36
🦅,36
🔒,36
🇫,35
🍆,35
🔆,35
🌳,35
😐,35
❓,35
🤑,35
📽,34
🌙,34
🕷,34
🗨,34
💭,34
🤝,33
🔗,33
🐸,33
🔁,33
✋,32
✴,32
🍉,32
🕸,32
👫,31
🎼,31
🙋,31
🔘,31
💲,30
😪,30
💤,30
🐾,30
😚,30
😶,30
🍌,29
📢,29
⭕,29
🌍,29
📦,29
💽,29
🎩,29
🦑,29
🌩,28
🎙,28
🦄,28
🐱,28
✍,28
🕶,28
🧸,28
😵,28
🦁,27
📥,27
🐍,27
👦,27
👹,27
🎂,27
🗺,27
♻,27
💢,27
🐶,26
🤜,26
☢,26
🐼,26
👟,26
🎹,26
🌻,26
🧠,26
🚗,26
👅,26
🐻,26
🤍,26
🦋,25
🅾,25
🌵,25
😣,25
💁,25
🐝,25
👿,25
💉,24
🌎,24
📧,24
🦍,24
🙊,24
🏃,24
✈,24
🃏,24
🚻,24
♾,24
😲,24
😻,24
📞,24
🎤,24
⛽,23
🙅,23
🍜,23
😨,23
📹,23
🗑,23
🔅,23
😥,22
⏰,22
😰,22
🧢,22
🦊,22
🙇,21
🥅,21
⚙,20
🐥,20
🌌,20
🖌,20
😒,19
📈,19
⚰,19
👩,19
👎,19
😯,19
🔌,19
🌲,19
💃,19
🇭,19
⁉,18
💌,18
🖕,18
😓,18
🛹,18
🚷,18
⌚,18
🛸,18
🐤,18
📚,18
🚛,18
🔛,18
🔳,18
🕺,17
🌼,17
🌚,17
🧙,17
✂,17
🦠,17
🎞,17
⛰,16
⏬,16
🐴,16
📨,16
🌾,16
🀄,16
🧞,16
😖,15
🌋,15
😛,15
🏔,15
🎄,15
🦖,15
⚓,15
🦉,15
✏,15
🛵,15
😞,15
☘,15
🆕,14
😠,14
😺,14
🎭,14
🐒,14
🌅,14
🍔,14
🐠,14
⏳,14
🐓,14
🛋,14
⛩,14
🍗,13
🍒,13
🏞,13
🏀,13
🕊,13
👧,13
🏅,13
🌑,13
🍩,13
🔞,13
🍯,13
🤬,13
💍,13
🎴,13
🐷,13
💶,13
🍍,13
💏,13
🤒,12
🤢,12
🔖,12
🧝,12
♣,12
☣,12
↪,12
🔑,12
🐯,12
🐊,12
📰,12
⏪,12
🎋,12
🔐,12
💟,12
🎸,12
🔓,12
🤛,12
🌞,12
🌔,12
⬜,12
🕓,11
🦈,11
😸,11
🙍,11
🛶,11
🥊,11
🦌,11
🔄,11
↩,11
🧼,11
🤾,11
👕,11
📅,11
🇾,11
🐈,11
💼,11
🍎,11
👓,11
🌗,11
💐,11
🌝,11
🔋,11
🐮,10
🌠,10
🦀,10
🇴,10
🔉,10
🅰,10
🦕,10
🔈,10
🛒,10
🤳,10
🐨,10
🐃,10
💿,10
🧩,10
🌧,10
🐙,10
🔀,10
🐌,10
😙,9
🐣,9
🧔,9
🚶,9
🦆,9
🖐,9
🚘,9
🥂,9
🤐,9
🤚,9
🍫,9
📀,9
☄,9
⚒,9
🖖,9
🍟,9
🍓,9
🍇,9
🧪,9
🦜,9
⏱,9
😹,9
😕,9
🥃,9
🐆,9
🏵,9
🎟,9
🗓,9
🚌,9
🎱,8
💮,8
🐀,8
🌃,8
💆,8
🍺,8
🥤,8
🌬,8
🍰,8
⛱,8
🌜,8
🥪,8
💊,8
🗝,8
❕,8
🎰,8
💾,8
🇻,8
🐟,8
🚭,8
🐩,8
😗,7
🎒,7
📋,7
🆘,7
🍬,7
🕴,7
🕵,7
🚙,7
☎,7
ℹ,7
🤴,7
😧,7
🏰,7
😼,7
🚬,7
📤,7
Ⓜ,7
🇰,7
🦸,7
🥚,7
🌇,7
🍷,6
🚯,6
👐,6
🌏,6
🍾,6
♨,6
📖,6
🦎,6
☹,6
🚔,6
🆔,6
🖼,6
🏢,6
📉,6
🏡,6
🏠,6
💷,6
🍿,6
🍵,6
♿,6
🧚,6
🎳,6
🖊,6
🎣,6
⛅,6
👼,6
🤺,6
🗒,6
👸,6
🤼,6
🕳,6
🐎,6
🥉,5
🤕,5
🏈,5
🐇,5
😷,5
🐋,5
🙆,5
🚁,5
🔙,5
🌶,5
😽,5
🎖,5
📊,5
🌛,5
👭,5
🛫,5
🚦,5
🙎,5
🥜,5
➕,5
🥞,5
🛩,5
💴,5
🔧,5
😟,5
🐧,5
🐳,5
📛,5
🚸,5
👬,5
🆚,5
🧀,5
🌄,5
🙉,5
🦢,5
🔨,5
👒,5
🏯,5
❇,5
🙁,4
🥈,4
↙,4
☔,4
🐕,4
🚩,4
🦲,4
🦔,4
🌮,4
👲,4
🥦,4
🚐,4
🚓,4
🍋,4
🐄,4
➰,4
📄,4
🥋,4
✒,4
👚,4
🐚,4
☃,4
👺,4
🥒,4
😦,4
🍏,4
👞,4
🗯,4
🌽,4
🥔,4
📬,4
🇿,4
💄,4
🐔,4
🙀,4
❔,4
🏕,4
⛄,4
🏄,4
💅,4
📐,4
🍱,4
🏑,4
🐽,4
🧛,4
🏋,4
🏍,4
🧱,3
🧜,3
🗾,3
♋,3
🎛,3
🚕,3
🛌,3
🖨,3
🎇,3
🎷,3
🔦,3
👪,3
🥩,3
👄,3
🏛,3
🚲,3
🕰,3
🦞,3
🌥,3
🔩,3
🤲,3
🏖,3
🧬,3
🍊,3
🎺,3
⛺,3
🦚,3
🧽,3
㊙,3
🈂,3
📆,3
🌫,3
🌖,3
🍹,3
🔕,3
👮,3
⌛,3
🏚,3
🎫,3
🔎,3
♏,3
🎍,3
☸,3
✡,3
🍞,3
🅿,3
☮,3
🐅,3
🏭,3
🛄,3
🕙,3
🥢,3
🌉,3
🚥,3
🎓,3
🥮,3
🦟,3
🍙,3
🛣,3
🦏,3
🐹,3
💱,3
👣,2
👵,2
⏲,2
👳,2
🌓,2
🇶,2
🕢,2
⚾,2
📳,2
🧶,2
🌕,2
🌤,2
🐿,2
🎦,2
⛵,2
🏊,2
🗞,2
🆒,2
🧭,2
👰,2
🕘,2
🕚,2
📑,2
🕔,2
♟,2
🥾,2
🛳,2
🍼,2
🎗,2
👷,2
🏮,2
👂,2
🏜,2
🐭,2
🥑,2
🚪,2
🏥,2
🌘,2
👶,2
👗,2
👯,2
🍐,2
🌁,2
🎆,2
🚜,2
🏙,2
📃,2
🌂,2
🚽,2
↖,2
🥝,2
👠,2
🧁,2
🛠,2
🥛,2
🆙,2
🏫,2
🎠,2
🥣,2
🏘,2
