Emoji, Frecuencia
➖,3185
🎮,2722
😂,1258
🔥,1228
😍,1187
❤,1086
🔸,977
▪,803
🚨,718
✨,677
⚡,677
🕹,671
🏻,607
😁,521
👾,478
👍,425
😎,408
〰,374
💕,364
😊,364
💖,356
➰,346
👇,345
💚,343
🔹,340
😅,339
🤣,335
💙,320
❌,296
😭,287
🤔,270
💜,258
💵,253
⭐,253
😉,251
👌,250
➡,248
👉,248
🍁,248
♥,246
🏼,245
🌸,237
🥰,227
✌,220
♂,217
💥,214
🤓,212
⬇,208
◾,205
▫,199
👀,197
💯,190
🙌,186
😱,182
🤩,180
💛,168
‼,163
🖤,161
💪,160
🎉,159
⚽,158
🏽,158
⚔,156
😘,147
🍃,145
🚫,144
☺,143
📱,141
📸,139
🤗,137
❎,134
😀,133
💎,131
♀,130
👏,128
😄,127
✔,125
😆,123
❗,117
🔴,116
🙏,116
🗡,115
🙈,115
📷,108
🎃,107
🔫,107
👈,105
✅,105
🔻,105
🌟,104
👑,104
😳,102
⚫,101
🍂,100
🌀,99
🍀,99
💫,97
😋,97
🧡,95
⚠,95
🛡,89
🇧,89
🦑,89
🏆,87
🎨,87
♾,87
👻,86
🍄,86
🤘,86
🥳,85
🏁,82
😜,81
🎧,80
🐙,80
😤,78
🔔,78
🌱,78
🚀,77
🌴,77
🥔,77
🤷,76
🇸,76
💦,75
🏎,75
🙂,74
💞,74
🎶,74
⬅,73
💀,73
❇,73
💓,73
😈,72
💻,72
🤖,70
💗,69
🇬,69
👊,69
📩,68
🇪,67
💧,67
🌿,66
😏,66
💘,66
☄,66
❄,65
📺,64
🎬,64
🎁,63
🛍,62
📲,62
💣,62
💰,61
🍞,61
☑,57
😔,56
🤙,56
🌺,56
🙃,55
🐉,55
🏾,55
🤟,54
😬,54
🤯,54
🥺,54
🙄,53
💟,53
🤪,52
🇺,51
🚧,50
🎯,50
🛵,48
🎂,48
☕,47
©,47
🦇,47
🌈,46
😃,46
🐻,45
🕷,45
😢,45
🇷,45
💨,44
😌,43
🗻,43
🌊,43
📍,43
☀,42
😩,42
▶,42
🚚,42
☝,42
🔝,42
📞,42
🗣,40
🤦,40
↘,40
🇱,39
🌹,39
🤤,39
🎵,39
🙋,39
✊,38
☎,38
🎀,38
🤭,37
💡,37
☠,37
☁,37
🍌,37
💳,37
💬,36
🎊,36
🏿,36
🌙,36
🎈,36
🦊,36
☯,36
😴,35
🇹,35
👹,35
🚗,34
📝,34
🤞,34
🏮,34
🔵,33
😡,33
🌻,33
♠,33
🇳,32
🤡,32
🐲,32
😝,31
✈,31
📌,31
🤨,31
🇩,31
🕊,30
🌐,30
📦,29
🧝,29
🐓,29
🌌,29
💁,29
😑,29
😥,29
◼,29
🏃,28
🌑,28
🌳,28
🍓,28
✳,28
🧐,28
🌼,28
🚩,28
🇵,28
🛒,28
💿,28
💤,27
🌍,27
📚,27
