Emoji, Frecuencia
➖,7640
🎮,3027
🔥,2181
😂,1855
❤,1253
◾,1011
🔸,917
😍,716
▪,711
🏻,693
🔹,631
👍,612
❌,547
▫,509
🤣,504
🕹,483
⬇,477
💙,471
💥,453
✨,450
😈,421
👇,417
😁,417
👾,412
😎,411
♥,410
💯,409
💕,379
⛓,371
💀,366
😊,340
💚,339
♂,332
📸,322
♦,319
🔴,310
⚡,308
🎬,306
🖤,305
💜,304
👌,293
👉,293
⭐,293
⚔,292
😱,290
〰,286
🖱,285
➡,281
🌸,267
🙌,260
💪,257
👀,250
🤔,248
🙏,248
💖,246
😅,245
😭,245
📩,244
✌,243
😉,235
🏼,234
🔔,231
🏽,221
⚠,220
🏾,217
🚫,216
🥰,195
🤓,194
💛,186
✔,186
🐲,179
😘,177
✅,177
‼,176
🎥,174
🎉,173
🤷,172
👈,169
⏺,168
🔵,167
🤩,167
💬,165
❗,157
🔫,157
📷,155
🐺,153
🤘,149
🧡,146
🍀,144
☺,139
💓,138
🚨,137
▶,136
🎧,135
♒,133
💫,131
😄,131
🚀,131
⌨,130
♀,129
👻,129
💞,121
🤗,121
🤯,120
💗,120
🤟,119
🏆,115
👑,114
🌟,113
🇧,113
📺,112
❎,112
❄,111
👏,110
💎,110
😬,107
🇸,106
🛰,106
☠,105
🤙,103
😏,103
💣,102
🖲,102
⚽,102
🎎,101
👊,98
📱,97
⛔,95
🎶,95
🎃,94
🤡,94
🔲,92
🇪,91
🇺,89
🍃,88
♠,87
🤪,86
🇬,85
✖,84
🐉,84
🥳,83
🤮,83
⬛,82
🔝,81
😆,81
☑,81
🤠,80
🏿,78
😤,77
😳,77
🇹,76
🥔,76
🔶,74
🇷,73
🍂,72
🇮,72
💰,71
🔽,71
🌴,70
📌,69
❣,69
🙄,69
😀,69
💻,69
🍪,68
😋,67
🛡,66
🙂,66
🌺,66
🇵,66
🎂,66
🎯,65
😝,64
🌊,63
📲,63
😩,63
🤖,62
🌈,62
🌹,61
🤦,61
🔺,61
😔,60
📍,60
💵,59
👽,59
